,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pedernales,100,EC,1562815990,84,0.07,-80.05,75.58,10.33
1,Thompson,75,CA,1562815518,51,55.74,-97.86,62.6,2.24
2,Saskylakh,73,RU,1562815588,52,71.97,114.09,60.87,6.58
3,Hilo,75,US,1562815496,69,19.71,-155.08,80.6,6.93
4,Khatanga,100,RU,1562815529,54,71.98,102.47,53.92,6.33
5,Omboue,55,GA,1562816021,86,-1.57,9.26,72.82,11.95
6,Vardo,40,US,1562816023,74,39.62,-77.74,79.0,5.95
7,Saint-Philippe,1,CA,1562815290,64,45.36,-73.48,77.0,5.82
8,Hermanus,0,ZA,1562815366,94,-34.42,19.24,53.01,7.54
9,Rikitea,0,PF,1562815466,81,-23.12,-134.97,73.34,17.09
10,Nemuro,75,JP,1562815682,82,43.32,145.57,59.0,10.29
11,Albany,1,US,1562815420,100,42.65,-73.75,75.2,1.39
12,Belmopan,0,BZ,1562815883,94,17.25,-88.77,79.0,3.24
13,Boralday,0,KZ,1562816031,47,43.36,76.86,78.8,4.47
14,Mar del Plata,45,AR,1562815574,84,-46.43,-67.52,41.84,4.68
15,Meadow Lake,100,CA,1562816034,98,54.13,-108.44,59.52,8.08
16,Cidreira,100,BR,1562815662,71,-30.17,-50.22,58.85,3.76
17,Tezu,100,IN,1562816036,98,27.93,96.16,70.64,6.46
18,East London,0,ZA,1562815551,93,-33.02,27.91,53.6,6.93
19,Lasa,0,CY,1562815880,60,34.92,32.53,77.0,4.7
20,Yellowknife,75,CA,1562815414,66,62.45,-114.38,55.4,6.93
21,Ushuaia,75,AR,1562815713,96,-54.81,-68.31,37.4,2.82
22,Taoudenni,28,ML,1562815461,26,22.68,-3.98,93.32,9.89
23,Cape Town,0,ZA,1562815350,100,-33.93,18.42,53.01,4.7
24,New Norfolk,20,AU,1562815575,47,-42.78,147.06,55.4,19.46
25,Maracas,0,TT,1562816046,83,10.76,-61.44,79.0,16.4
26,Airai,82,TL,1562816007,51,-8.93,125.41,82.51,3.18
27,West Plains,1,US,1562816048,94,36.73,-91.85,73.99,6.98
28,Palora,43,EC,1562816049,97,-1.7,-77.97,61.86,3.22
29,Bossangoa,100,CF,1562816051,96,6.5,17.45,68.86,7.2
30,Atuona,3,PF,1562815459,80,-9.8,-139.03,80.63,16.78
31,Mataura,52,NZ,1562816053,82,-46.19,168.86,53.01,4.0
32,Iqaluit,75,CA,1562815857,76,63.75,-68.52,50.0,3.36
33,Tecpan,0,GT,1562816056,77,14.76,-90.99,68.0,6.93
34,Pionerskiy,92,RU,1562816057,93,61.2,62.86,62.76,6.67
35,Saldanha,0,PT,1562816058,60,41.42,-6.55,68.21,2.46
36,Tomatlan,1,MX,1562816060,79,19.93,-105.25,79.61,3.96
37,Dwarka,40,IN,1562816061,52,28.58,77.04,93.2,11.41
38,Ahipara,0,NZ,1562815661,100,-35.17,173.16,66.0,8.34
39,Busselton,98,AU,1562815479,57,-33.64,115.35,63.0,9.86
40,Milkovo,100,BG,1562816065,67,41.53,24.68,64.4,10.29
41,Victoria,75,BN,1562815582,70,5.28,115.24,89.6,2.24
42,Youhao,99,CN,1562816067,28,47.86,128.84,84.13,6.06
43,Qaqortoq,88,GL,1562816068,75,60.72,-46.03,46.4,3.36
44,Lebu,40,ET,1562816070,87,8.96,38.73,53.6,4.7
45,Oistins,75,BB,1562815642,74,13.07,-59.53,82.4,17.22
46,Vaitape,24,PF,1562816072,70,-16.52,-151.75,77.54,2.62
47,Gondar,0,PT,1562816073,77,41.82,-8.78,70.0,1.12
48,Bredasdorp,0,ZA,1562815501,87,-34.53,20.04,46.4,4.7
49,Springbok,0,ZA,1562816076,20,-29.67,17.88,60.89,5.14
50,Mao,20,DO,1562816077,88,19.55,-71.08,82.0,11.41
51,Barrow,100,AR,1562815496,81,-38.31,-60.23,47.64,3.69
52,Pacifica,75,US,1562815822,93,37.61,-122.49,68.0,9.17
53,Vaini,75,IN,1562815493,100,15.34,74.49,73.4,9.17
54,Zyryanka,0,RU,1562816084,37,65.73,150.89,82.78,6.13
55,Gombong,0,ID,1562816085,52,-7.19,109.31,84.14,2.35
56,Duki,0,PK,1562816086,27,30.15,68.58,90.7,4.54
57,Punta Arenas,90,CL,1562815526,93,-53.16,-70.91,37.4,9.17
58,Touros,75,BR,1562815799,94,-5.2,-35.46,73.4,3.36
59,Arraial do Cabo,0,BR,1562815543,82,-22.97,-42.02,64.22,16.89
60,Nikolskoye,40,RU,1562816091,62,59.7,30.79,51.8,8.95
61,Kapaa,1,US,1562815749,66,22.08,-159.32,84.2,13.87
62,Bambous Virieux,75,MU,1562815607,88,-20.34,57.76,69.01,5.82
63,Acajutla,83,SV,1562816095,74,13.59,-89.83,84.52,8.01
64,Geraldton,90,CA,1562815845,93,49.72,-86.95,57.2,12.75
65,Tasiilaq,79,GL,1562815653,75,65.61,-37.64,42.8,4.7
66,Butaritari,91,KI,1562816098,64,3.07,172.79,85.55,4.63
67,Chuy,52,UY,1562815558,92,-33.69,-53.46,52.55,5.41
68,Hongjiang,100,CN,1562816101,66,27.21,109.83,81.08,3.22
69,Ilulissat,17,GL,1562815852,93,69.22,-51.1,41.0,3.36
70,Ibb,22,YE,1562816103,48,13.97,44.18,71.72,2.82
71,Ketchikan,1,US,1562815979,77,55.34,-131.65,66.2,9.17
72,Maun,0,BW,1562816106,43,-19.99,23.42,55.4,10.29
73,Ixtapa,75,MX,1562816107,74,20.71,-105.21,84.99,8.05
74,Qaanaaq,90,GL,1562816108,65,77.48,-69.36,41.81,0.51
75,Provost,67,CA,1562816110,82,52.35,-110.26,66.47,5.79
76,Puerto Ayora,67,EC,1562815786,92,-0.74,-90.35,70.0,7.72
77,Shimanovsk,100,RU,1562816112,73,52.0,127.67,77.09,2.8
78,Faanui,24,PF,1562815276,70,-16.48,-151.75,77.54,2.62
79,Ponta do Sol,0,BR,1562815611,66,-20.63,-46.0,53.33,3.13
80,Quatre Cocos,75,MU,1562816116,88,-20.21,57.76,69.01,5.82
81,Hofn,100,IS,1562815579,81,64.25,-15.21,39.0,2.08
82,Upernavik,38,GL,1562815820,80,72.79,-56.15,42.2,6.33
83,Cabo San Lucas,5,MX,1562815995,42,22.89,-109.91,86.0,8.05
84,Hualmay,0,PE,1562816120,86,-11.1,-77.61,62.29,13.42
85,Jamestown,92,AU,1562815552,77,-33.21,138.6,55.67,20.15
86,Kampong Thum,100,KH,1562816123,65,12.71,104.89,85.12,0.4
87,Tadine,35,NC,1562816124,72,-21.55,167.88,71.15,15.19
88,Matara,0,BI,1562816125,90,-3.48,29.48,49.22,1.74
89,Kingston,20,JM,1562815960,70,17.97,-76.79,84.2,16.11
90,Chernolesskoye,98,RU,1562816128,53,44.72,43.71,67.66,6.49
91,Conceicao do Araguaia,0,BR,1562816129,59,-8.26,-49.26,72.8,2.28
92,Saint George,75,GR,1562815465,88,39.45,22.34,69.01,4.7
93,Kyzyl-Suu,0,KG,1562816131,63,42.34,78.0,64.61,7.99
94,Cabatuan,11,PH,1562816133,68,16.95,121.67,86.27,4.83
95,Mamakan,81,RU,1562816134,53,57.82,114.02,72.41,2.48
96,Kodiak,1,US,1562815895,35,39.95,-94.76,77.0,5.82
97,Opuwo,0,NA,1562815561,58,-18.06,13.84,45.23,1.59
98,Dalaba,100,GN,1562816138,97,10.69,-12.25,70.19,1.19
99,Hobart,20,AU,1562815554,47,-42.88,147.33,55.4,19.46
100,Longyearbyen,75,NO,1562815860,87,78.22,15.63,44.6,3.36
101,Sao Joao da Barra,0,BR,1562815746,90,-21.64,-41.05,58.22,1.39
102,Ampanihy,37,MG,1562816142,93,-24.69,44.75,61.95,4.25
103,High Prairie,100,CA,1562816144,93,55.43,-116.48,57.63,6.51
104,Conakry,75,GN,1562815881,100,9.52,-13.7,78.8,11.03
105,Okha,55,RU,1562815856,76,53.59,142.95,60.74,7.76
106,Kruisfontein,0,ZA,1562815410,47,-34.0,24.73,54.68,7.67
107,Fort Nelson,40,CA,1562816148,33,58.81,-122.69,71.6,2.24
108,Kendal,20,ID,1562816150,45,-6.92,110.2,86.0,16.11
109,Bluff,2,AU,1562815675,52,-23.58,149.07,72.98,7.11
110,Mount Isa,23,AU,1562816152,15,-20.73,139.49,78.8,12.75
111,Sao Borja,99,BR,1562816154,89,-28.66,-56.0,64.18,8.16
112,Namibe,30,AO,1562815868,81,-15.19,12.15,66.22,8.14
113,Avarua,73,CK,1562815563,73,-21.21,-159.78,77.0,12.75
114,Caucaia,75,BR,1562816157,74,-3.73,-38.66,86.0,12.75
115,Kaitangata,62,NZ,1562815664,62,-46.28,169.85,55.99,5.01
116,Tashtyp,98,RU,1562816160,72,52.8,89.89,60.91,6.44
117,Mahebourg,75,MU,1562815777,88,-20.41,57.7,69.01,5.82
118,Ust-Nera,100,RU,1562816162,53,64.57,143.24,69.08,6.78
119,Nabire,100,ID,1562816163,96,-3.36,135.5,69.4,4.97
120,Castro,90,CL,1562815668,93,-42.48,-73.76,44.6,5.82
121,Suluq,0,LY,1562816166,57,31.67,20.25,81.86,1.39
122,Ust-Kan,39,RU,1562816167,75,50.93,84.77,55.92,4.76
123,Lannion,89,FR,1562816168,87,48.73,-3.46,61.0,3.36
124,Provideniya,0,RU,1562816170,55,64.42,-173.23,66.2,6.71
125,Acheng,0,CN,1562816171,54,45.55,126.95,80.6,4.47
126,Birobidzhan,92,RU,1562816172,44,48.79,132.93,80.98,6.96
127,Morondava,0,MG,1562816174,74,-20.3,44.28,69.96,19.39
